Taxa,Year,Animal_inclusion,FMFO_inclusion,Crop_inclusion,Animal_TL,FMFO_TL,Crop_TL,TL_taxon_year
Carps,1995,9.999999999999962e-6,0.1,0.89999,2.1,3.11578426948668,1,2.211589426948668
Carps,1996,9.999999999999962e-6,0.1,0.89999,2.1,3.10690673448333,1,2.210701673448333
Carps,1997,9.999999999999962e-6,0.1,0.89999,2.1,3.11315137784884,1,2.211326137784884
Carps,1998,9.999999999999962e-6,0.1,0.89999,2.1,3.16870170874797,1,2.216881170874797
Carps,1999,9.999999999999962e-6,0.09,0.90999,2.1,3.08630447303591,1,2.187778402573232
Carps,2000,9.999999999999962e-6,0.09,0.90999,2.1,3.073440544454,1,2.1866206490008597
Carps,2001,9.999999999999962e-6,0.08,0.91999,2.1,3.1311081930251,1,2.1704996554420077
Carps,2002,9.999999999999962e-6,0.08,0.91999,2.1,3.09112834773143,1,2.167301267818514
Carps,2003,9.999999999999962e-6,0.08,0.91999,2.1,3.16028524185179,1,2.172833819348143
Carps,2004,9.999999999999962e-6,0.08,0.91999,2.1,3.12278676805893,1,2.1698339414447143
Carps,2005,9.999999999999962e-6,0.08,0.91999,2.1,3.12430757764929,1,2.169955606211943
Carps,2006,9.999999999999962e-6,0.05,0.94999,2.1,3.14836090631952,1,2.107429045315976
Carps,2007,9.999999999999962e-6,0.05,0.94999,2.1,3.1378424059264,1,2.10690312029632
Carps,2010,9.999999999999962e-6,0.03,0.96999,2.1,3.12200997229333,1,2.0636712991688
Carps,2015,9.999999999999962e-6,0.02,0.97999,2.1,3.11911645502311,1,2.042393329100462
Shrimps,1995,0.005000000000004918,0.3,0.6949999999999951,2.1,3.11578426948668,1,2.6402352808460092
Shrimps,1996,0.0058706196965522105,0.29,0.7041293803034478,2.1,3.10690673448333,1,2.617460634666373
Shrimps,1997,0.006892280949891536,0.28,0.7131077190501085,2.1,3.11315137784884,1,2.599263894842556
Shrimps,1998,0.008091091529108656,0.28,0.7119089084708914,2.1,3.16870170874797,1,2.616136679131451
Shrimps,1999,0.009497655389144752,0.27,0.7205023446108552,2.1,3.08630447303591,1,2.573749628647755
Shrimps,2000,0.011147844134896058,0.27,0.718852155865104,2.1,3.073440544454,1,2.5720915755509655
Shrimps,2001,0.013083700365688821,0.27,0.7169162996343111,2.1,3.1311081930251,1,2.589791282519035
Shrimps,2002,0.015354495361197653,0.27,0.7146455046388023,2.1,3.09112834773143,1,2.5814945987848033
Shrimps,2003,0.018017967381411974,0.26,0.721982032618588,2.1,3.16028524185179,1,2.5814939270010187
Shrimps,2004,0.02114177130853112,0.26,0.7188582286914689,2.1,3.12278676805893,1,2.575180508134706
Shrimps,2005,0.024805175567316644,0.26,0.7151948244326833,2.1,3.12430757764929,1,2.5796056633128637
Shrimps,2006,0.02910104834814248,0.22,0.7508989516518575,2.1,3.14836090631952,1,2.504650552573251
Shrimps,2007,0.03413818227253017,0.2,0.7658618177274699,2.1,3.1378424059264,1,2.465120481685063
Shrimps,2010,0.055084395445553894,0.14,0.8049156045544461,2.1,3.12200997229333,1,2.357674231111176
Shrimps,2015,0.12208267400002586,0.095,0.7829173259999742,2.1,3.11911645502311,1,2.335607004627224
Tilapias,1995,0.005000000000001508,0.15,0.8449999999999985,2.1,3.11578426948668,1,2.322867640423004
Tilapias,1996,0.005418655558876377,0.14,0.8545813444411237,2.1,3.10690673448333,1,2.3009274639424304
Tilapias,1997,0.005872129106070647,0.14,0.8541278708939293,2.1,3.11315137784884,1,2.3023005349155152
Tilapias,1998,0.006363296672030012,0.13,0.8636367033279699,2.1,3.16870170874797,1,2.288930848476469
Tilapias,1999,0.006895270231281679,0.13,0.8631047297687183,2.1,3.08630447303591,1,2.2788043787490784
Tilapias,2000,0.007471416925966303,0.12,0.8725285830740337,2.1,3.073440544454,1,2.257031423953043
Tilapias,2001,0.008095379844785243,0.12,0.8719046201552147,2.1,3.1311081930251,1,2.264637900992276
Tilapias,2002,0.008771100482353942,0.11,0.881228899517646,2.1,3.09112834773143,1,2.2396723287810465
Tilapias,2003,0.009502843013894584,0.11,0.8804971569861054,2.1,3.16028524185179,1,2.2480845039189807
Tilapias,2004,0.010295220531006406,0.1,0.8897047794689936,2.1,3.12278676805893,1,2.22360341939
Tilapias,2005,0.011153223395801982,0.1,0.888846776604198,2.1,3.12430757764929,1,2.2246993035003113
Tilapias,2006,0.012082249883323353,0.065,0.9229177501166766,2.1,3.14836090631952,1,2.1529339337824247
Tilapias,2007,0.01308813929556562,0.05,0.9369118607044344,2.1,3.1378424059264,1,2.1212890735214422
Tilapias,2010,0.016632765375540943,0.03,0.953367234624459,2.1,3.12200997229333,1,2.081956341081895
Tilapias,2015,0.024779772000001848,0.02,0.9552202279999982,2.1,3.11911645502311,1,2.0696400783004645
Marine fishes,1995,0.0050000000000003705,0.65,0.34499999999999964,2.1,3.11578426948668,1,3.380759775166343
Marine fishes,1996,0.0051946494284115146,0.65,0.34480535057158845,2.1,3.10690673448333,1,3.375203491785417
Marine fishes,1997,0.005396773300466824,0.65,0.34460322669953314,2.1,3.11315137784884,1,3.3794848462322595
Marine fishes,1998,0.005606654670983665,0.62,0.37439334532901636,2.1,3.16870170874797,1,3.3507623795618233
Marine fishes,1999,0.005824587164157633,0.58,0.41417541283584236,2.1,3.08630447303591,1,3.2164636402414013
Marine fishes,2000,0.006050875362637032,0.54,0.4539491246373629,2.1,3.073440544454,1,3.1263138569040607
Marine fishes,2001,0.006285835210717555,0.52,0.4737141647892824,2.1,3.1311081930251,1,3.115090679104841
Marine fishes,2002,0.006529794432156154,0.49,0.5034702055678438,2.1,3.09112834773143,1,3.0318356642637725
Marine fishes,2003,0.006783092963130536,0.48,0.5132169070368695,2.1,3.16028524185179,1,3.044398318348303
Marine fishes,2004,0.007046083400884002,0.47,0.5229539165991159,2.1,3.12278676805893,1,3.0054604727286693
Marine fishes,2005,0.007319131468616459,0.44,0.5526808685313835,2.1,3.12430757764929,1,2.9427463787811656
Marine fishes,2006,0.007602616497193747,0.4,0.5923973835028062,2.1,3.14836090631952,1,2.8677072406747213
Marine fishes,2007,0.007896931924295046,0.37,0.6221030680757049,2.1,3.1378424059264,1,2.7996883153094925
Marine fishes,2010,0.00884901756804299,0.3,0.691150982431957,2.1,3.12200997229333,1,2.6463369110128463
Marine fishes,2015,0.010693644874999065,0.2,0.7893063551250009,2.1,3.11911645502311,1,2.4355863003671208
Salmons,1995,0,0.7,0.30000000000000004,2.1,3.11578426948668,1,3.4810489886406764
Salmons,1996,0,0.69,0.31000000000000005,2.1,3.10690673448333,1,3.4537656467934976
Salmons,1997,0,0.68,0.31999999999999995,2.1,3.11315137784884,1,3.436942936937211
Salmons,1998,0,0.66,0.33999999999999997,2.1,3.16870170874797,1,3.43134312777366
Salmons,1999,0,0.65,0.35,2.1,3.08630447303591,1,3.356097907473342
Salmons,2000,0,0.63,0.37,2.1,3.073440544454,1,3.3062675430060198
Salmons,2001,0,0.62,0.38,2.1,3.1311081930251,1,3.321287079675562
Salmons,2002,0,0.6,0.4,2.1,3.09112834773143,1,3.254677008638858
Salmons,2003,0,0.59,0.41000000000000003,2.1,3.16028524185179,1,3.2745682926925563
Salmons,2004,0,0.57,0.43000000000000005,2.1,3.12278676805893,1,3.2099884577935898
Salmons,2005,0,0.56,0.43999999999999995,2.1,3.12430757764929,1,3.1896122434836025
Salmons,2006,0,0.5,0.5,2.1,3.14836090631952,1,3.07418045315976
Salmons,2007,0,0.4,0.6,2.1,3.1378424059264,1,2.85513696237056
Salmons,2010,0,0.3,0.7,2.1,3.12200997229333,1,2.636602991687999
Salmons,2015,0,0.2,0.8,2.1,3.11911645502311,1,2.423823291004622
Trouts,1995,0.005000000000004918,0.6,0.39499999999999513,2.1,3.11578426948668,1,3.2749705616920135
Trouts,1996,0.005956400151440382,0.58,0.41404359984855965,2.1,3.10690673448333,1,3.228557946166916
Trouts,1997,0.007095118513431568,0.56,0.43290488148656836,2.1,3.11315137784884,1,3.191169401960125
Trouts,1998,0.008450791888053102,0.55,0.44154920811194687,2.1,3.16870170874797,1,3.202081810888242
Trouts,1999,0.010064614895607438,0.54,0.44993538510439257,2.1,3.08630447303591,1,3.1376754918245595
Trouts,2000,0.011985577321039081,0.53,0.45801442267896086,2.1,3.073440544454,1,3.1121076236137633
Trouts,2001,0.01427193412484552,0.53,0.45572806587515446,2.1,3.1311081930251,1,3.1451864698406333
Trouts,2002,0.01699295171700263,0.51,0.47300704828299733,2.1,3.09112834773143,1,3.0851677042317327
Trouts,2003,0.02023098223418287,0.51,0.46976901776581714,2.1,3.16028524185179,1,3.1239995538020144
Trouts,2004,0.024083927217269895,0.5,0.47591607278273007,2.1,3.12278676805893,1,3.0878857039684617
Trouts,2005,0.028668163539177987,0.5,0.471331836460822,2.1,3.12430757764929,1,3.093688768717741
Trouts,2006,0.03412201801493921,0.45,0.5158779819850607,2.1,3.14836090631952,1,3.004296627660217
Trouts,2007,0.04060989323141735,0.36,0.5993901067685827,2.1,3.1378424059264,1,2.814294148688063
Trouts,2010,0.0684222691087359,0.26,0.671577730891264,2.1,3.12200997229333,1,2.6269870888158753
Trouts,2015,0.16295078000001553,0.18,0.6570492199999844,2.1,3.11911645502311,1,2.560686819904177
Catfishes,1995,0.005000000000001508,0.06,0.9349999999999985,2.1,3.11578426948668,1,2.1324470561692026
Catfishes,1996,0.0055106479325216446,0.05,0.9444893520674783,2.1,3.10690673448333,1,2.11140704944994
Catfishes,1997,0.006073152312648793,0.04,0.9539268476873513,2.1,3.11315137784884,1,2.0912065226578673
Catfishes,1998,0.006692749169123851,0.06,0.9333072508308762,2.1,3.16870170874797,1,2.1374841266109144
Catfishes,1999,0.007375200194037366,0.08,0.9126247998059627,2.1,3.08630447303591,1,2.175017078056314
Catfishes,2000,0.008126845212459351,0.09,0.9018731547875407,2.1,3.073440544454,1,2.1955491787345656
Catfishes,2001,0.008954659859112035,0.092,0.899045340140888,2.1,3.1311081930251,1,2.2059120796033325
Catfishes,2002,0.009866318975826164,0.114,0.8761336810241738,2.1,3.09112834773143,1,2.2492415825147916
Catfishes,2003,0.010870266293916582,0.114,0.8751297337060834,2.1,3.16028524185179,1,2.258229810494412
Catfishes,2004,0.01197579102090375,0.135,0.8530242089790963,2.1,3.12278676805893,1,2.2997495838109496
Catfishes,2005,0.01319311201173193,0.135,0.8518068879882681,2.1,3.12430757764929,1,2.3012939461955595
Catfishes,2006,0.014533470271216046,0.11699999999999999,0.8684665297287839,2.1,3.14836090631952,1,2.2673450433377216
Catfishes,2007,0.016009230607542363,0.09699999999999999,0.8869907693924577,2.1,3.1378424059264,1,2.2249808670431577
Catfishes,2010,0.021391853365730008,0.076,0.90260814663427,2.1,3.12200997229333,1,2.1848037965965963
Catfishes,2015,0.03464400416666672,0.044000000000000004,0.9213559958333333,2.1,3.11911645502311,1,2.1313495286043502
FW fishes,1995,0.005000000000002644,0.63,0.3649999999999973,2.1,3.11578426948668,1,3.3384440897766114
FW fishes,1996,0.00558235273282903,0.58,0.414417647267171,2.1,3.10690673448333,1,3.2281464940064435
FW fishes,1997,0.006232188487777508,0.58,0.4137678115122225,2.1,3.11315137784884,1,3.232483206488882
FW fishes,1998,0.006957287384426908,0.56,0.43304271261557303,2.1,3.16870170874797,1,3.2221259730217326
FW fishes,1999,0.007766321927495067,0.56,0.4322336780725049,2.1,3.08630447303591,1,3.1768734590203547
FW fishes,2000,0.008668958838679621,0.56,0.43133104116132037,2.1,3.073440544454,1,3.1706625596167877
FW fishes,2001,0.00967597244883615,0.51,0.4803240275511639,2.1,3.1311081930251,1,3.097508748136521
FW fishes,2002,0.010799370956096684,0.5,0.48920062904390327,2.1,3.09112834773143,1,3.0574434819174217
FW fishes,2003,0.012052537002174362,0.5,0.48794746299782565,2.1,3.16028524185179,1,3.093400411628287
FW fishes,2004,0.013450384182204416,0.5,0.48654961581779554,2.1,3.12278676805893,1,3.0761888066298897
FW fishes,2005,0.015009531284758704,0.5,0.4849904687152413,2.1,3.12430757764929,1,3.0786642732378797
FW fishes,2006,0.01674849626018797,0.45,0.533251503739812,2.1,3.14836090631952,1,2.985185753729991
FW fishes,2007,0.01868791213948424,0.45,0.5313120878605158,2.1,3.1378424059264,1,2.9825857860203127
